Official Name State,Official Name Suburb,latitude,longitude
Queensland,Tamrookum,-28.12670067,152.9126455
Queensland,Teelah,-26.7733251,152.0986866
Queensland,The Gums,-27.31717228,150.2217531
Queensland,Theebine,-25.93908947,152.5362177
Queensland,Thuringowa Central,-19.31309369,146.7281608
Queensland,Tingun,-26.79480134,148.8805704
Queensland,Tolga,-17.19167697,145.4649601
Queensland,Torrington (Qld),-27.54234883,151.8878759
Queensland,Wangetti,-16.6697331,145.5593285
Queensland,Wengenville,-26.82096835,151.6805771
Queensland,Widgee,-26.2203145,152.4079319
Queensland,Wilson Beach,-20.47087222,148.7263008
Queensland,Winwill,-27.6073717,152.2104462
Queensland,Woorabinda,-24.13593583,149.4461664
Queensland,Wyreema,-27.65720924,151.8432922
Queensland,Yugar,-27.3456552,152.8717559
South Australia,Alford,-33.81679624,137.8449482
South Australia,American River,-35.78036515,137.7698733
South Australia,Andrews,-33.61767945,138.6399401
South Australia,Arthurton,-34.23474678,137.7768557
South Australia,Bakara Well,-34.57483208,139.8470866
South Australia,Beaumonts,-34.04514908,139.6778418
South Australia,Benbournie,-33.80819248,138.5482625
South Australia,Blanchetown,-34.31682901,139.528819
South Australia,Cherry Gardens,-35.0688619,138.657972
South Australia,Cockatoo Valley,-34.62771825,138.8336482
South Australia,Colebatch,-35.94737202,139.7435051
South Australia,Collinsfield,-33.60469161,138.2165219
South Australia,Condowie,-33.78101463,138.3202247
South Australia,Craigburn Farm,-35.04035784,138.604941
South Australia,Davenport (SA),-32.47123188,137.7898805
South Australia,Firle,-34.90457199,138.6531877
South Australia,Gammon Ranges,-30.798128,139.3067009
South Australia,Gurra Gurra,-34.30073375,140.6401881
South Australia,Hawker (SA),-31.85646728,138.47018
South Australia,Keppoch,-36.7208706,140.5338659
South Australia,Kingsford (SA),-34.54855128,138.7883977
South Australia,Kongal,-36.37615542,140.4635218
South Australia,Lake Plains,-35.3628326,139.0433892
South Australia,Linden Park,-34.9435803,138.6472774
South Australia,Marino,-35.05063732,138.515723
South Australia,Markaranka,-34.02535366,139.9821775
South Australia,Mil-Lel,-37.7732152,140.8755537
South Australia,Milang,-35.38291282,138.9614245
South Australia,Mile End South,-34.93694808,138.5739331
South Australia,Miltalie,-33.47170581,136.75758
South Australia,Mindarie (SA),-34.76798703,140.1524127
South Australia,Monteith,-35.17261743,139.3406262
South Australia,Mount Ive,-32.33460304,136.316825
South Australia,Mount Serle,-30.1477575,138.7941713
South Australia,Mount Wedge,-33.36636033,135.0760947
South Australia,Myponga Beach,-35.38497617,138.3910185
South Australia,Nailsworth,-34.88436097,138.60617
South Australia,Nantawarra,-34.01188576,138.2172886
South Australia,New Port,-34.84534473,138.495821
South Australia,Oakden,-34.85276225,138.6433443
South Australia,Penola,-37.39451819,140.883011
South Australia,Perlubie,-32.6108322,134.3478509
South Australia,Port Arthur (SA),-34.11474649,138.0803865
South Australia,Port Neill,-34.06484376,136.3173213
South Australia,Riverglen,-35.16930324,139.3068597
South Australia,Spring Gully (SA),-33.91342246,138.5865129
South Australia,St Agnes (SA),-34.83073671,138.710822
South Australia,Stockport,-34.32902212,138.7366701
South Australia,Walloway,-32.6236523,138.5869793
South Australia,Wanbi,-34.78064878,140.3042177
South Australia,Watervale,-33.96507787,138.6494677
South Australia,West Bundaleer,-33.30644691,138.4941529
South Australia,White Well Corner,-31.85670095,133.2932061
South Australia,Willyaroo,-35.28094326,138.9197309
Western Australia,Allanson,-33.32612592,116.0880349
Western Australia,Balla Balla,-20.69747459,117.7668107
Western Australia,Balladong,-31.92947255,116.7445575
Western Australia,Bateman,-32.05553802,115.8473815
Western Australia,Big Grove,-35.08461336,117.8884696
Western Australia,Buckingham (WA),-33.35339899,116.3432811
Western Australia,Cannington,-32.01613063,115.9366364
Western Australia,Cooloongup,-32.29463832,115.7765293
Western Australia,Cranbrook (WA),-34.24881923,117.4837723
Western Australia,Cunderdin,-31.65563565,117.2652986
Western Australia,Daliak,-31.87039442,116.7171094
Western Australia,Dardadine,-33.23268471,116.7709028
Western Australia,Dinninup,-33.74194344,116.5137714
Western Australia,Elachbutting,-30.60382733,118.6164917
Western Australia,Exmouth Gulf,-22.60919191,114.2478218
Western Australia,Falcon,-32.58246517,115.661461
Western Australia,Finucane,-20.30158221,118.5635246
Western Australia,Forrest Beach (WA),-33.56713318,115.4894329
Western Australia,Frankland River,-34.33890121,116.9668025
Western Australia,Gap Ridge,-20.73786777,116.7885716
Western Australia,Gilroyd,-25.90627509,115.1830651
Western Australia,Glendalough,-31.91988044,115.8195175
Western Australia,Halls Creek (WA),-18.2244742,127.6732026
Western Australia,Hester,-33.90234857,116.1610654
Western Australia,Highgate (WA),-31.93989917,115.8702766
Western Australia,Horrocks,-28.37780638,114.4296164
Western Australia,Howatharra,-28.53678965,114.6444258
Western Australia,Innaloo,-31.89275573,115.7956455
Western Australia,Irishtown (WA),-31.5980204,116.649416
Western Australia,Jaloran,-33.17313729,117.425752
Western Australia,Jingalup,-33.9809307,117.0435225
Western Australia,Karloning,-30.63297186,118.1716085
Western Australia,King River,-34.93374554,117.9076649
Western Australia,Kirk Rock,-32.65304969,117.7651014
Western Australia,Kookynie,-29.63733443,122.1024099
Western Australia,Kwelkan,-31.13883852,118.0251503
Northern Territory_Western Australia,Lake Argyle,-16.48475242,128.6858078
Western Australia,Lamington (WA),-30.73446358,121.4616026
Western Australia,Langford,-32.04087142,115.9416153
Western Australia,Lumeah (WA),-34.00562751,117.2587637
Western Australia,Lynwood (WA),-32.040134,115.9288586
Western Australia,Massey Bay,-24.90403332,113.6774657
Western Australia,Meekatharra,-26.44559471,118.7117534
Western Australia,Mettler,-34.60226748,118.5905037
Western Australia,Miamoon,-30.15890871,116.4542275
Western Australia,Mooliabeenee,-31.29811647,116.0697656
Western Australia,Morangup,-31.6403712,116.3280824
Western Australia,Mount Stirling,-31.873148,117.5190095
Western Australia,Nairibin,-33.33328535,117.9306808
Western Australia,Narra Tarra,-28.65259996,114.7571158
Western Australia,Newman,-22.93921864,119.8989915
Western Australia,North Yunderup,-32.57392143,115.7920354
Western Australia,Orelia,-32.23324267,115.8233296
Western Australia,Parmelia,-32.24649455,115.8277984
Western Australia,Paynesville (WA),-27.99531355,118.3081218
Western Australia,Peerabeelup,-34.32285598,115.7843095
Western Australia,Queens Park (WA),-32.00323279,115.946074
Western Australia,Roleystone,-32.12399754,116.08095
Western Australia,Rossmore (WA),-31.40621105,116.7638299
Western Australia,Sandsprings,-28.81022391,114.9440718
Western Australia,South Burracoppin,-31.58026283,118.6129409
Western Australia,South Lake,-32.1072839,115.8406117
Western Australia,Strathalbyn (WA),-28.75177145,114.6456931
Western Australia,Talbot West,-32.1269724,116.6888543
Western Australia,Tammin,-31.64153175,117.4863007
Western Australia,Tarcoola Beach,-28.80987522,114.6223156
Western Australia,Telfer,-21.20867351,123.2605993
Western Australia,Walmsley,-34.97387276,117.903058
Western Australia,Wandillup,-34.0447519,116.0548079
Western Australia,West Beach (WA),-33.88070419,121.8443948
Western Australia,West Casuarinas,-28.86029269,115.2617101
Western Australia,Woottating,-31.86800428,116.4435006
Western Australia,Yanchep,-31.52545252,115.7381362
Western Australia,Yarawindah,-31.1063403,116.2394418
Western Australia,Yathroo,-30.83202785,115.7750172
Tasmania,Barrington (Tas.),-41.33215056,146.2785715
Tasmania,Blue Rocks,-40.0406831,147.9507321
Tasmania,Branxholm,-41.17467079,147.7477728
Tasmania,Chigwell,-42.80754591,147.2338992
Tasmania,Christmas Hills (Tas.),-40.96390585,144.9821774
Tasmania,Devon Hills,-41.55083424,147.1836018
Tasmania,East Launceston,-41.43933123,147.1504736
Tasmania,Edgcumbe Beach,-40.86744059,145.4133641
Tasmania,Egg Lagoon,-39.66000576,144.0157269
Tasmania,Forth,-41.20304166,146.2373004
Tasmania,George Town,-41.09103565,146.901039
Tasmania,Grasstree Hill,-42.78364029,147.36644
Tasmania,Lebrina,-41.16413467,147.2261776
Tasmania,Lilydale (Tas.),-41.24621959,147.23451
Tasmania,Loorana,-39.85943383,143.9318385
Tasmania,Lower Beulah,-41.46778669,146.4105284
Tasmania,Macquarie Plains,-42.71251654,146.9170577
Tasmania,Mayberry,-41.56675544,146.287848
Tasmania,Miena,-41.98260489,146.6901744
Tasmania,Montana,-41.59345868,146.5886982
Tasmania,Moonah,-42.84560119,147.2954067
Tasmania,Pontypool,-42.32672864,147.9612291
Tasmania,Rokeby (Tas.),-42.89531418,147.437553
Tasmania,Sea Elephant,-39.82814171,144.0657055
Tasmania,Seven Mile Beach,-42.84087009,147.5423092
Tasmania,South Burnie,-41.06657349,145.9135878
Tasmania,St Marys (Tas.),-41.58696207,148.1558364
Tasmania,Strzelecki (Tas.),-40.223385,148.1087972
Tasmania,Tarleton,-41.24067643,146.3700885
Tasmania,Upper Castra,-41.33396819,146.1333454
Tasmania,Weldborough,-41.2038591,147.9424888
Tasmania,Wilburville,-42.0432442,146.8989066
Northern Territory,Anula,-12.39122591,130.8905215
Northern Territory,Connellan,-23.80284339,133.9092155
Northern Territory,Coomalie Creek,-13.02118883,131.1688677
Northern Territory,Girraween (NT),-12.52525988,131.0956765
Northern Territory,Irlpme,-23.64688314,133.8647787
Northern Territory,Mereenie,-23.89505882,131.826069
Northern Territory,Mutitjulu,-25.35068167,131.0673682
Northern Territory,Numbulwar,-14.27384851,135.7265186
Northern Territory,Pamayu,-17.60824014,134.0556654
Northern Territory,Top Springs,-16.54851714,131.8014599
Northern Territory,Wanguri,-12.37119296,130.8881279
Northern Territory,Wilora,-21.74427988,133.7264945
Australian Capital Territory,ACT Remainder - Molonglo Valley,-35.29217335,149.0598428
Australian Capital Territory,Hall,-35.17020401,149.0669176
Australian Capital Territory,Holt,-35.22441218,149.0118923
Australian Capital Territory,Kaleen,-35.22779188,149.1091345
